nohup: ignoring input
Błąd odczytu DHT22: DHT sensor not found, check wiring
2025-03-12	18:10	0.83	16400	100.0%	1.24	24664	93.88%	0.95	18962	95.81%	None	None	11659	0.5806408789196612
2025-03-12	18:40	0.83	16400	100.0%	1.25	24792	93.59%	0.95	18962	95.81%	19.9	45.8	192	0.006445410849164568
2025-03-12	19:10	0.83	16400	100.0%	1.25	24856	93.44%	0.96	19026	95.49%	19.8	47.2	256	0.012890821698329136
2025-03-12	19:40	0.83	16400	100.0%	1.25	24920	93.29%	0.95	18898	96.13%	19.7	47.6	128	0.00966811627374685
2025-03-12	20:10	0.83	16400	100.0%	1.26	24984	93.14%	0.95	18962	95.81%	19.7	47.7	128	0.006445410849164568
2025-03-12	20:40	0.83	16335	100.0%	1.26	24984	93.14%	0.95	18962	95.81%	19.5	47.9	256	0.00966811627374685
2025-03-12	21:10	0.83	16400	100.0%	1.25	24920	93.29%	0.95	18962	95.81%	19.5	48.9	128	0.0
2025-03-12	21:40	0.83	16400	100.0%	1.25	24856	93.44%	0.95	18898	96.13%	19.3	52.1	192	0.00966811627374685
2025-03-12	22:10	0.83	16400	100.0%	1.25	24920	93.29%	0.95	18898	96.13%	19.3	53.0	256	0.006445410849164568
2025-03-12	22:40	0.83	16464	100.0%	1.25	24792	93.59%	0.95	18898	96.13%	20.1	54.9	0	0.003222705424582284
2025-03-12	23:10	0.83	16528	100.0%	1.25	24856	93.44%	0.96	19090	95.16%	20.4	55.3	192	0.00966811627374685
2025-03-12	23:40	0.83	16528	100.0%	1.46	29020	83.87%	0.96	19026	95.49%	20.8	53.4	0	0.0
2025-03-13	00:10	0.83	16528	100.0%	1.46	28956	84.02%	0.96	19090	95.16%	21.1	52.8	256	0.00966811627374685
2025-03-13	00:40	0.83	16528	100.0%	1.44	28571	84.9%	0.96	18962	95.81%	21.1	52.4	0	0.0
2025-03-13	01:10	0.83	16592	100.0%	1.45	28828	84.31%	0.96	19026	95.49%	21.2	51.9	64	0.016113527122911423
2025-03-13	01:40	0.84	16592	100.0%	1.45	28764	84.46%	0.95	19026	95.49%	21.6	50.5	64	0.0
2025-03-13	02:10	0.84	16592	100.0%	1.45	28828	84.31%	0.96	19026	95.49%	21.7	50.2	128	0.006445410849164568
2025-03-13	02:40	0.84	16592	100.0%	1.45	28700	84.61%	0.96	19090	95.16%	21.7	50.1	0	0.0
